Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html,
Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx,
Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html,
"Note: ECB URLs above apply only to ""International organisation"" and ""Counterparty identifier (unless otherwise decided by the NCB)"" columns. Additional columns may be added later.",
International organisation name in AnaCredit data,AnaCredit counterparty identifier
Agency for the Cooperation of Energy Regulators [ACER],E$0ECBM00023
Body of European Regulators for Electronic Communications [BEREC],E$0ECBM00049
Committee of Regions  [CR],E$0ECBM00056
Community Plant Variety Office [CPVO],E$0ECBM00064
Council of the European Union  [CEU],E$0ECBM00106
Court of Justice of the European Union [CJEU],E$0ECBM00114
Economic and Social Committee  [ESC],E$0ECBM00122
European Agency for Safety and Health at Work [EU-OSHA],E$0ECBM00148
European Agency for the Management of Operational Cooperation at the External Borders [FRONTEX],E$0ECBM00155
"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice  [EU-LISA]",E$0ECBM00163
European Asylum Support Office [EASO],E$0ECBM00171
European Atomic Energy Community [Euratom],E$0ECBM00189
European Aviation Safety Agency [EASA],E$0ECBM00197
European Banking Authority [EBA],E$0ECBM00213
European Central Bank [ECB],E$0ECBM00221
European Centre for Disease Prevention and Control [ECDC],E$0ECBM00239
European Centre for the Development of Vocational Training [CEDEFOP],E$0ECBM00254
European Chemicals Agency [ECHA],E$0ECBM00262
European Commission [EC],E$0ECBM00270
European Community of Steel and Coal [ECSC],E$0ECBM00288
European Council  [Council],E$0ECBM00296
European Court of Auditors [ECA],E$0ECBM00304
European Data Protection Supervisor [EDPS],E$0ECBM00312
European Defence Agency [EDA],E$0ECBM00320
European Development Fund [EDF],E$0ECBM00338
European Environment Agency [EEA],E$0ECBM00346
European External Action Service [EEAS],E$0ECBM00353
European Fisheries Control Agency [EFCA],E$0ECBM00379
European Food Safety Authority [EFSA],E$0ECBM00387
European Foundation for the Improvement of Living and Working Conditions [EUROFOUND],E$0ECBM00395
European GNSS Agency [GSA],E$0ECBM00403
European Institute for Gender Equality [EIGE],E$0ECBM00411
European Institute of Innovation and Technology [EIT],E$0ECBM00429
European Insurance and Occupational Pensions Authority [EIOPA],E$0ECBM00437
European Investment Bank [EIB],E$0ECBM00445
European Investment Fund [EIF],E$0ECBM00452
European Maritime Safety Agency [EMSA],E$0ECBM00460
European Medicines Agency [EMA],E$0ECBM00478
European Monitoring Centre for Drugs and Drug Addiction [EMCDDA],E$0ECBM00494
European Network and Information Security Agency [ENISA],E$0ECBM00502
European Ombudsman [Ombudsman],E$0ECBM00510
European Parliament  [EP],E$0ECBM00544
European Personnel Selection Office [EPSO],E$0ECBM00569
European Police College [CEPOL],E$0ECBM00577
European Police Office [EUROPOL],E$0ECBM00585
European Railway Agency [ERA],E$0ECBM00593
European School of Administration [EUSA],E$0ECBM00601
European Securities and Markets Authority [ESMA],E$0ECBM00619
European Stability Mechanism [ESM],E$0ECBM00643
European Training Foundation [ETF],E$0ECBM00650
European Union Agency for Fundamental Rights [FRA],E$0ECBM00668
European Union Institute for Security Studies [EUISS],E$0ECBM00676
European Union Intellectual Property Office [EUIPO],E$0ECBM00684
European Union Satellite Centre [SATCEN],E$0ECBM00692
Joint Committee of the European Supervisory Authorities ,E$0ECBM00890
Nordic Development Fund [NDF],E$0ECBM00916
Publications Office of the European Union [POEU],E$0ECBM00981
Single Resolution Board [SRB],E$0ECBM00999
The European Union's Judicial Cooperation Unit [EUROJUST],E$0ECBM01005
Translation Centre for the Bodies of the European Union [CdT],E$0ECBM01013
European Public Prosecutor's Office (in preparation) [EPPO],E$0ECBM01047
European Union [EU],E$0ECBM01054
European Financial Stability Facility [EFSF],E$0ECBM901678
European Telecommunications Satellite Organization [EUTELSAT],E$ECBM8467139
ATHENA Mechanism,E$ECBM922989
Africa Finance Corporation [AFC],N$0ECBM00024
African Development Bank [AfDB],N$0ECBM00032
African Development Bank Group [AfDB],N$0ECBM00040
African Development Fund [AfDF],N$0ECBM00057
African Export-Import Bank [Afreximbank],N$0ECBM00065
African Union  [AU],N$0ECBM00073
Andean Development Corporation [ADC],N$0ECBM00081
Arab Bank for Economic Development in Africa [BADEA],N$0ECBM00099
Arab Fund for Economic and Social Development [AFESD],N$0ECBM00107
Arab Monetary Fund [AMF],N$0ECBM00115
Asian Clearing Union [ACU],N$0ECBM00123
Asian Development Bank [ADB],N$0ECBM00131
Asian Development Fund  [AsDF],N$0ECBM00149
Association of Southeast Asian Nations  [ASEAN],N$0ECBM00156
Bank for International Settlements [BIS],N$0ECBM00164
Banque des Etats de l'Afrique Centrale [BEAC],N$0ECBM00172
Caribbean Community and Common Market  [CARICOM],N$0ECBM00180
Caribbean Development Bank [CDB],N$0ECBM00198
Central African States Development Bank [CASDB],N$0ECBM00206
Central American Bank for Economic Integration [CABEI],N$0ECBM00214
Central American Common Market  [CACM],N$0ECBM00222
Colombo Plan,N$0ECBM00230
East African Development Bank [EADB],N$0ECBM00248
Eastern Caribbean Central Bank [ECCB],N$0ECBM00255
Economic Community of West African States  [ECOWAS],N$0ECBM00263
ECOWAS Bank for Investment and Development [EBID],N$0ECBM00271
Eurasian Development Bank [EDB],N$0ECBM00289
European Broadcasting Union [EBU],N$0ECBM00297
European Company for the Financing of Railroad Rolling Stock  [EUROFIMA],N$0ECBM00305
European Free Trade Association  [EFTA],N$0ECBM00313
European Organization for Nuclear Research  [CERN],N$0ECBM00321
Foreign Trade Bank of Latin America [Bladex],N$0ECBM00339
Inter-American Development Bank [IADB],N$0ECBM00347
Inter-American Investment Corporation [IIC],N$0ECBM00354
International Bank for Economic Cooperation [IBEC],N$0ECBM00362
International Bank for Reconstruction and Development (IBRD) [IBRD],N$0ECBM00370
International Centre for Settlement of Investment Disputes - WB Group [ICSID],N$0ECBM00388
International Civil Aviation Organization  [ICAO],N$0ECBM00396
International Committee of the Red Cross  [ICRC],N$0ECBM00404
International Cotton Advisory Committee  [ICAC],N$0ECBM00412
International Development Association - WG Group [IDA],N$0ECBM00420
