Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html,,
Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx,,
Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html,,
International organisation,Counterparty identifier (unless otherwise decided by the NCB),International Organisation Code
Agency for the Cooperation of Energy Regulators [ACER],E$0ECBM00023,4J81
Body of European Regulators for Electronic Communications [BEREC],E$0ECBM00049,4J82
Committee of Regions  [CR],E$0ECBM00056,4J7
Community Plant Variety Office [CPVO],E$0ECBM00064,4J83
Council of the European Union  [CEU],E$0ECBM00106,4J2
Court of Justice of the European Union [CJEU],E$0ECBM00114,4J3
Economic and Social Committee  [ESC],E$0ECBM00122,4J6
European Agency for Safety and Health at Work [EU-OSHA],E$0ECBM00148,4J85
European Agency for the Management of Operational Cooperation at the External Borders [FRONTEX],E$0ECBM00155,4J86
"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice  [EU-LISA]",E$0ECBM00163,4J87
European Asylum Support Office [EASO],E$0ECBM00171,4J88
European Atomic Energy Community [Euratom],E$0ECBM00189,4U
European Aviation Safety Agency [EASA],E$0ECBM00197,4J89
European Banking Authority [EBA],E$0ECBM00213,4T1
European Central Bank [ECB],E$0ECBM00221,4F
European Centre for Disease Prevention and Control [ECDC],E$0ECBM00239,4J810
European Centre for the Development of Vocational Training [CEDEFOP],E$0ECBM00254,4J811
European Chemicals Agency [ECHA],E$0ECBM00262,4J812
European Commission [EC],E$0ECBM00270,4D
European Community of Steel and Coal [ECSC],E$0ECBM00288,4H
European Council  [Council],E$0ECBM00296,4J5
European Court of Auditors [ECA],E$0ECBM00304,4J4
European Data Protection Supervisor [EDPS],E$0ECBM00312,4J813
European Defence Agency [EDA],E$0ECBM00320,4J814
European Development Fund [EDF],E$0ECBM00338,4E
European Environment Agency [EEA],E$0ECBM00346,4J815
European External Action Service [EEAS],E$0ECBM00353,4J816
European Fisheries Control Agency [EFCA],E$0ECBM00379,4J817
European Food Safety Authority [EFSA],E$0ECBM00387,4J818
